cod_componente	warehouse	ubicazione	lotto	giacenza_disponibile	giacenza_impegnata	giacenza_fisica	scorta_minima	scorta_massima	punto_riordino	lead_time_days	data_snapshot	data_stock	flag_corrente
CONN-MAIN-0001	C	SC02	202409-843	471	109	580	97	906	122	59	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0002	B	SC49	202405-771	556	193	749	90	1264	158	88	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-SUB-0003	C	SC26	202408-835	506	149	655	94	984	141	87	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-AUX-0004	B	SC39	202401-143	446	123	569	102	912	146	60	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-MAIN-0005	B	SC42	202408-947	276	59	335	48	663	91	88	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-AUX-0006	C	SC37	202404-794	443	68	511	63	914	137	59	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-MAIN-0007	B	SC20	202407-785	382	115	497	66	769	127	47	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-SPARE-0008	C	SC07	202405-949	259	102	361	42	689	86	73	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SUB-0009	B	SC35	202401-591	175	57	232	23	372	59	55	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-AUX-0010	A	SC16	202409-398	305	74	379	60	598	98	58	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SPARE-0011	A	SC19	202402-600	552	171	723	112	1382	166	55	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-AUX-0012	A	SC16	202403-206	300	41	341	45	564	72	82	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0013	C	SC44	202409-317	278	117	395	60	660	102	55	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-AUX-0014	A	SC17	202402-751	492	187	679	116	1311	147	62	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-SPARE-0015	B	SC12	202402-550	480	70	550	62	864	124	65	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SUB-0016	A	SC15	202404-955	545	212	757	75	1267	224	61	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-MAIN-0017	B	SC09	202402-213	290	112	402	68	609	97	85	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0018	B	SC30	202401-323	310	87	397	42	750	80	67	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-AUX-0019	C	SC47	202405-943	289	37	326	59	645	69	47	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SUB-0020	A	SC32	202407-616	586	174	760	133	1303	174	50	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-AUX-0021	C	SC35	202409-895	624	179	803	97	1406	206	58	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-MAIN-0022	B	SC11	202403-846	182	35	217	31	385	56	88	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-MAIN-0023	C	SC22	202402-470	335	79	414	55	679	104	50	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-MAIN-0024	C	SC41	202405-503	365	137	502	64	912	134	49	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-MAIN-0025	A	SC17	202402-495	438	154	592	95	1130	167	64	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-MAIN-0026	B	SC02	202409-185	396	135	531	65	1016	131	46	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-MAIN-0027	C	SC07	202402-373	476	96	572	83	897	170	52	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0028	B	SC38	202402-187	524	151	675	82	1145	190	76	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SUB-0029	C	SC35	202404-197	582	201	783	79	1362	192	56	2024-09-01 00:00:00	2024-09-01	FALSE
